label,state,confirmed,cured,death
1,Andhra Pradesh,133,1.0,
2,Andaman and Nicobar Islands,10,0.0,
3,Arunachal Pradesh,1,0.0,
4,Assam,16,0.0,
5,Bihar,29,1.0,
6,Chandigarh,18,0.0,
7,Chhattisgarh,12,0.0,
8,Delhi,227,4.0,
9,Goa,6,0.0,
10,Gujarat,105,8.0,
11,Haryana,73,0.0,
12,Himachal Pradesh,7,1.0,
13,Jammu and Kashmir,78,2.0,
14,Jharkhand,2,0.0,
15,Karnataka,134,3.0,
16,Kerala,313,2.0,
17,Ladakh,17,0.0,
18,Madhya Pradesh,104,6.0,
19,Maharashtra,377,16.0,
20,Manipur,2,0.0,
21,Mizoram,1,0.0,
22,Odisha,5,0.0,
23,Puducherry,6,0.0,
24,Punjab,49,5.0,
25,Rajasthan,170,0.0,
26,Tamil Nadu,315,1.0,
27,Telengana,159,7.0,
28,Uttarakhand,12,0.0,
28,Uttar Pradesh,186,2.0,
29,West Bengal,66,3.0,
Total number of confirmed cases in India,2547*,225,,
